utm,lon,lat,presence
29SNC4,-8.14,38.17,1
29SND1,-8.71,39.52,1
29SND2,-8.71,39.07,1
29SND3,-8.13,39.52,1
29SND4,-8.13,39.07,1
29SNE2,-8.71,39.97,1
29SNE4,-8.12,39.97,1
29SPA1,-7.6,36.81,0
29SPB1,-7.58,37.71,1
29SPB2,-7.59,37.26,1
29SPB3,-7.02,37.7,1
29SPB4,-7.03,37.25,1
29SPC1,-7.56,38.61,1
29SPC2,-7.57,38.16,1
29SPC3,-6.99,38.61,1
29SPC4,-7,38.16,1
29SPD1,-7.55,39.52,1
29SPD2,-7.56,39.06,0
29SPD3,-6.97,39.51,1
29SPD4,-6.98,39.06,1
29SPE2,-7.54,39.97,1
29SPE4,-6.95,39.96,1
29SQA1,-6.38,36.79,1
29SQA2,-6.39,36.34,1
29SQB1,-6.37,37.69,1
29SQB2,-6.37,37.24,1
29SQC1,-6.35,38.59,1
29SQC2,-6.36,38.14,1
29SQD1,-6.34,39.49,1
29SQD2,-6.34,39.04,1
29SQE2,-6.33,39.94,1
29TMH3,-9.31,43.13,1
29TMH4,-9.31,42.68,0
29TNE1,-8.71,40.42,1
29TNE3,-8.12,40.42,1
29TNF1,-8.7,41.33,0
29TNF2,-8.7,40.88,1
29TNF3,-8.1,41.32,1
29TNF4,-8.11,40.87,1
29TNG1,-8.7,42.23,1
29TNG2,-8.7,41.78,1
29TNG3,-8.09,42.22,1
29TNG4,-8.1,41.77,1
29TNH1,-8.69,43.13,1
29TNH2,-8.7,42.68,1
29TNH3,-8.08,43.12,1
29TNH4,-8.09,42.67,1
29TNJ2,-8.69,43.58,1
29TNJ4,-8.07,43.57,1
29TPE1,-7.53,40.42,1
29TPE3,-6.94,40.41,1
29TPF1,-7.51,41.32,1
29TPF2,-7.52,40.87,1
29TPF3,-6.91,41.31,1
29TPF4,-6.92,40.86,1
29TPG1,-7.49,42.22,1
29TPG2,-7.5,41.77,1
29TPG3,-6.88,42.21,1
29TPG4,-6.9,41.76,1
29TPH1,-7.46,43.12,1
29TPH2,-7.48,42.67,1
29TPH3,-6.85,43.11,1
29TPH4,-6.87,42.66,1
29TPJ2,-7.45,43.57,1
29TPJ4,-6.83,43.56,1
29TQE1,-6.32,40.39,1
29TQF1,-6.31,41.29,1
29TQF2,-6.31,40.84,1
29TQG1,-6.29,42.19,1
29TQG2,-6.3,41.74,1
29TQH1,-6.27,43.09,1
29TQH2,-6.28,42.64,1
29TQJ2,-6.26,43.54,1
29UMA2,-10.15,54.37,0
29UMA4,-9.39,54.37,0
29UMT1,-10.1,52.12,0
29UMT2,-10.09,51.67,0
29UMT3,-9.37,52.12,0
29UMT4,-9.36,51.67,0
29UMU2,-10.11,52.57,0
29UMU3,-9.37,53.02,0
29UMU4,-9.37,52.57,0
29UMV1,-10.14,53.92,0
29UMV2,-10.13,53.47,0
29UMV3,-9.38,53.92,0
29UMV4,-9.38,53.47,0
29UNA1,-8.61,54.82,0
29UNA2,-8.62,54.37,0
29UNA3,-7.83,54.82,0
29UNA4,-7.85,54.37,0
29UNB4,-7.82,55.26,0
29UNT1,-8.64,52.12,0
29UNT2,-8.64,51.67,0
29UNT3,-7.91,52.12,0
29UNU1,-8.63,53.02,0
29UNU2,-8.63,52.57,0
29UNU3,-7.88,53.02,0
29UNU4,-7.89,52.57,0
29UNV1,-8.62,53.92,0
29UNV2,-8.62,53.47,0
29UNV3,-7.86,53.92,0
29UNV4,-7.87,53.47,0
29UPA1,-7.06,54.81,0
29UPA2,-7.08,54.36,0
29UPA3,-6.33,54.79,0
29UPA4,-6.35,54.34,0
29UPB2,-7.03,55.25,0
29UPB3,-6.31,55.69,0
29UPB4,-6.32,55.24,0
29UPR4,-6.46,49.85,0
29UPT1,-7.18,52.11,0
29UPU1,-7.14,53.01,0
29UPU2,-7.16,52.56,0
29UPU3,-6.38,52.99,0
29UPU4,-6.39,52.54,0
29UPV1,-7.1,53.91,0
29UPV2,-7.12,53.46,0
29UPV3,-6.36,53.89,0
29UPV4,-6.37,53.44,0
29VND3,-7.75,57.51,0
29VND4,-7.76,57.06,0
29VPC1,-6.96,56.6,0
29VPC3,-6.28,56.59,0
29VPC4,-6.29,56.14,0
29VPD1,-6.91,57.5,0
29VPD2,-6.94,57.05,0
29VPD4,-6.26,57.04,0
29VPE1,-6.86,58.4,0
29VPE2,-6.89,57.95,0
29VPE3,-6,58.39,0
29VPE4,-6,57.94,0
29VPJ1,-6.75,61.72,0
29VPK2,-6.98,62.16,0
29XJM1,-8.45,70.97,0
30STF3,-5.62,36.79,1
30STG3,-5.63,37.69,1
30STH3,-5.65,38.59,1
30STH4,-5.64,38.14,1
30STJ3,-5.66,39.49,1
30STJ4,-5.66,39.04,1
30STK4,-5.67,39.94,1
30SUF1,-4.96,36.8,1
30SUF3,-4.4,36.81,1
30SUG1,-4.99,37.7,1
30SUG2,-4.97,37.25,1
30SUG3,-4.42,37.71,1
30SUG4,-4.41,37.26,1
30SUH1,-5.01,38.61,1
30SUH2,-5,38.16,1
30SUH3,-4.44,38.61,1
30SUH4,-4.43,38.16,1
30SUJ1,-5.04,39.51,1
30SUJ2,-5.02,39.06,1
30SUJ3,-4.45,39.52,1
30SUJ4,-4.45,39.06,1
30SUK2,-5.05,39.96,1
30SUK4,-4.46,39.97,1
30SVF1,-3.84,36.82,1
30SVF3,-3.28,36.82,1
30SVG1,-3.85,37.72,1
30SVG2,-3.85,37.27,1
30SVG3,-3.28,37.72,1
30SVG4,-3.28,37.27,1
30SVH1,-3.86,38.62,1
30SVH2,-3.86,38.17,1
30SVH3,-3.29,38.62,1
30SVJ1,-3.87,39.52,0
30SVJ2,-3.87,39.07,0
30SVJ4,-3.29,39.07,1
30SVK2,-3.88,39.97,0
30SVK4,-3.29,39.97,1
30SWF1,-2.72,36.82,1
30SWF3,-2.16,36.82,0
30SWG1,-2.72,37.72,1
30SWG2,-2.72,37.27,1
30SWG3,-2.15,37.72,1
30SWH1,-2.71,38.62,1
30SWH2,-2.72,38.17,1
30SWH3,-2.14,38.62,1
30SWH4,-2.14,38.17,1
30SWJ2,-2.71,39.07,1
30SWJ4,-2.13,39.07,1
30SWK2,-2.71,39.97,1
30SWK4,-2.12,39.97,1
30SXG1,-1.58,37.71,1
30SXG2,-1.59,37.26,0
30SXG3,-1.02,37.7,1
30SXH2,-1.57,38.16,1
30SXH3,-0.99,38.61,1
30SXH4,-1,38.16,1
30SXJ1,-1.55,39.52,1
30SXJ3,-0.97,39.51,1
30SXJ4,-0.98,39.06,1
30SXK2,-1.54,39.97,1
30SXK4,-0.95,39.96,1
30SYG1,-0.37,37.69,0
30SYH1,-0.35,38.59,1
30SYH2,-0.36,38.14,1
30SYJ1,-0.34,39.49,1
30SYJ2,-0.34,39.04,1
30SYK2,-0.33,39.94,1
30TTK3,-5.68,40.39,1
30TTL3,-5.69,41.29,1
30TTL4,-5.69,40.84,1
30TTM3,-5.71,42.19,1
30TTM4,-5.7,41.74,1
30TTN3,-5.73,43.09,1
30TTN4,-5.72,42.64,1
30TTP4,-5.74,43.54,1
30TUK1,-5.06,40.41,1
30TUK3,-4.47,40.42,1
30TUL1,-5.09,41.31,1
30TUL2,-5.08,40.86,1
30TUL3,-4.49,41.32,1
30TUL4,-4.48,40.87,1
30TUM1,-5.12,42.21,1
30TUM2,-5.11,41.76,1
30TUM3,-4.51,42.22,1
30TUM4,-4.5,41.77,1
30TUN1,-5.15,43.11,1
30TUN2,-5.14,42.66,1
30TUN3,-4.54,43.12,1
30TUN4,-4.53,42.67,1
30TUP2,-5.17,43.56,1
30TUP4,-4.55,43.57,1
30TVK1,-3.88,40.42,1
30TVK3,-3.3,40.42,1
30TVL1,-3.9,41.32,1
30TVL2,-3.89,40.87,1
30TVL3,-3.3,41.33,1
30TVL4,-3.3,40.88,1
30TVM1,-3.91,42.22,1
30TVM2,-3.9,41.77,1
30TVM3,-3.3,42.23,1
30TVM4,-3.3,41.78,1
30TVN1,-3.92,43.12,1
30TVN2,-3.92,42.67,1
30TVN3,-3.31,43.13,1
30TVN4,-3.31,42.68,1
30TVP2,-3.93,43.57,1
30TVP4,-3.31,43.58,1
30TVT1,-4,47.62,1
30TVT3,-3.33,47.63,1
30TVT4,-3.33,47.18,1
30TWK1,-2.71,40.42,1
30TWK3,-2.12,40.42,1
30TWL1,-2.7,41.33,1
30TWL2,-2.7,40.88,1
30TWL3,-2.1,41.32,1
30TWL4,-2.11,40.87,1
30TWM1,-2.7,42.23,1
30TWM2,-2.7,41.78,1
30TWM3,-2.09,42.22,1
30TWM4,-2.1,41.77,1
30TWN1,-2.69,43.13,1
30TWN2,-2.7,42.68,1
30TWN3,-2.08,43.12,1
30TWN4,-2.09,42.67,1
30TWP2,-2.69,43.58,1
30TWP4,-2.07,43.57,1
30TWS3,-2.02,46.72,1
30TWT1,-2.67,47.63,1
30TWT2,-2.67,47.18,1
30TWT3,-2,47.62,1
30TWT4,-2.01,47.17,1
30TXK1,-1.53,40.42,1
30TXK3,-0.94,40.41,1
30TXL1,-1.51,41.32,1
30TXL2,-1.52,40.87,1
30TXL3,-0.91,41.31,1
30TXL4,-0.92,40.86,1
30TXM1,-1.49,42.22,1
30TXM2,-1.5,41.77,1
30TXM3,-0.88,42.21,1
30TXM4,-0.9,41.76,1
30TXN1,-1.46,43.12,1
30TXN2,-1.48,42.67,1
30TXN3,-0.85,43.11,1
30TXN4,-0.87,42.66,1
30TXP1,-1.44,44.02,1
30TXP2,-1.45,43.57,1
30TXP3,-0.82,44.01,1
30TXP4,-0.83,43.56,1
30TXQ1,-1.42,44.92,1
30TXQ2,-1.43,44.47,1
30TXQ3,-0.78,44.91,1
30TXQ4,-0.8,44.46,1
30TXR1,-1.39,45.82,1
30TXR2,-1.4,45.37,1
30TXR3,-0.75,45.81,1
30TXR4,-0.77,45.36,1
30TXS1,-1.37,46.72,1
30TXS2,-1.38,46.27,1
30TXS3,-0.71,46.7,1
30TXS4,-0.73,46.26,0
30TXT1,-1.34,47.62,1
30TXT2,-1.35,47.17,1
30TXT3,-0.67,47.6,1
30TXT4,-0.69,47.15,1
30TYK1,-0.32,40.39,1
30TYL1,-0.31,41.29,1
30TYL2,-0.31,40.84,1
30TYM1,-0.29,42.19,1
30TYM2,-0.3,41.74,1
30TYN1,-0.27,43.09,1
30TYN2,-0.28,42.64,1
30TYP1,-0.25,43.99,1
30TYP2,-0.26,43.54,1
30TYQ1,-0.23,44.89,1
30TYQ2,-0.24,44.44,0
30TYR1,-0.21,45.79,1
30TYR2,-0.22,45.34,1
30TYS1,0,46.7,1
30TYS2,0,46.25,0
30TYT1,0,47.6,1
30TYT2,0,47.15,1
30UUA2,-5.55,50.13,0
30UUA3,-4.76,50.31,1
30UUB4,-4.77,50.76,0
30UUC3,-4.83,52.11,0
30UUC4,-4.81,51.66,0
30UUD3,-4.86,53.01,0
30UUE3,-5.67,54.79,0
30UUF1,-5.65,54.34,0
30UUF2,-4.95,54.81,0
30UUF3,-4.55,54.21,0
30UUG1,-5.69,55.69,0
30UUG2,-5.68,55.24,0
30UUG3,-4.99,55.7,0
30UUG4,-4.97,55.25,0
30UUU3,-4.69,48.51,1
30UUU4,-4.68,48.06,1
30UVA1,-4.05,50.32,1
30UVB1,-4.07,51.22,0
30UVB2,-4.06,50.77,0
30UVB3,-3.36,51.22,0
30UVB4,-3.36,50.78,1
30UVC1,-4.1,52.12,0
30UVC2,-4.09,51.67,0
30UVC3,-3.37,52.12,0
30UVC4,-3.36,51.67,0
30UVD1,-4.12,53.02,0
30UVD2,-4.11,52.57,0
30UVD3,-3.37,53.02,0
30UVD4,-3.37,52.57,0
30UVE4,-3.38,53.47,0
30UVF1,-4.17,54.82,0
30UVF3,-3.39,54.82,0
30UVF4,-3.39,54.37,0
30UVG1,-4.19,55.71,0
30UVG2,-4.18,55.26,0
30UVG3,-3.4,55.72,0
30UVG4,-3.39,55.27,0
30UVU1,-4.02,48.52,1
30UVU2,-4.01,48.07,1
30UVU3,-3.34,48.53,1
30UVU4,-3.34,48.08,1
30UVV4,-3.34,48.98,1
30UWB1,-2.64,51.22,0
30UWB2,-2.65,50.78,1
30UWB3,-1.93,51.22,0
30UWB4,-1.94,50.77,1
30UWC1,-2.64,52.12,0
30UWC2,-2.64,51.67,0
30UWC3,-1.91,52.12,0
30UWC4,-1.92,51.67,0
30UWD1,-2.63,53.02,0
30UWD2,-2.63,52.57,0
30UWD3,-1.88,53.02,0
30UWD4,-1.89,52.57,0
30UWE1,-2.62,53.92,0
30UWE2,-2.62,53.47,0
30UWE3,-1.86,53.92,0
30UWE4,-1.87,53.47,0
30UWF1,-2.61,54.82,0
30UWF2,-2.62,54.37,0
30UWF3,-1.83,54.82,0
30UWF4,-1.85,54.37,0
30UWG1,-2.6,55.72,0
30UWG2,-2.61,55.27,0
30UWG4,-1.82,55.26,0
30UWU1,-2.66,48.53,1
30UWU2,-2.66,48.08,1
30UWU3,-1.98,48.52,1
30UWU4,-1.99,48.07,1
30UWV1,-2.66,49.43,1
30UWV3,-1.97,49.42,1
30UWV4,-1.98,48.97,1
30UXB1,-1.21,51.21,1
30UXB2,-1.23,50.76,1
30UXB3,-0.43,51.2,1
30UXB4,-0.44,50.75,0
30UXC1,-1.18,52.11,0
30UXC2,-1.19,51.66,0
30UXC3,-0.41,52.1,0
30UXC4,-0.42,51.65,0
30UXD1,-1.14,53.01,0
30UXD2,-1.16,52.56,0
30UXD3,-0.38,52.99,0
30UXD4,-0.39,52.54,0
30UXE1,-1.1,53.91,0
30UXE2,-1.12,53.46,0
30UXE3,-0.36,53.89,0
30UXE4,-0.37,53.44,0
30UXF2,-1.08,54.36,0
30UXU1,-1.31,48.51,1
30UXU2,-1.32,48.06,1
30UXU3,-0.63,48.5,0
30UXU4,-0.65,48.05,1
30UXV1,-1.28,49.41,1
30UXV2,-1.29,48.96,1
30UXV3,-0.47,49.4,1
30UXV4,-0.48,48.95,0
30UYU1,0,48.5,1
30UYU2,0,48.05,1
30VUH1,-5.72,56.59,0
30VUH2,-5.71,56.14,0
30VUH3,-5.04,56.6,0
30VUH4,-5.01,56.15,0
30VUJ1,-5.75,57.49,0
30VUJ2,-5.74,57.04,0
30VUJ3,-5.09,57.5,0
30VUJ4,-5.06,57.05,0
30VUK3,-5.14,58.4,0
30VUK4,-5.11,57.95,0
30VVH1,-4.22,56.61,0
30VVH2,-4.21,56.16,0
30VVH3,-3.41,56.62,0
30VVH4,-3.4,56.17,0
30VVJ1,-4.25,57.51,0
30VVJ2,-4.24,57.06,0
30VVJ3,-3.42,57.51,0
30VVJ4,-3.41,57.07,0
30VVK1,-4.28,58.41,0
30VVK2,-4.27,57.96,0
30VVK3,-3.43,58.41,0
30VVK4,-3.42,57.96,0
30VVL3,-3.44,59.31,0
30VVL4,-3.43,58.86,0
30VWH1,-2.59,56.62,0
30VWH2,-2.6,56.17,0
30VWJ1,-2.58,57.51,0
30VWJ2,-2.59,57.07,0
30VWJ3,-1.75,57.51,0
30VWL1,-2.56,59.31,0
30VWL2,-2.57,58.86,0
30VWM3,-1.65,60.2,0
30VWM4,-1.67,59.75,0
30VWN4,-1.63,60.65,0
30VXN2,-0.59,60.64,0
31SBC3,0.35,38.59,1
31SBD4,0.34,39.04,1
31SBE4,0.33,39.94,1
31SCC3,1.56,38.61,0
31SCD2,0.98,39.06,0
31SCE2,0.95,39.96,0
31SDD1,2.13,39.52,0
31SDD3,2.71,39.52,0
31SDD4,2.71,39.07,0
31SDE4,2.71,39.97,0
31SED1,3.29,39.52,0
31SED2,3.29,39.07,0
31SEE2,3.29,39.97,0
31SEE4,4.09,39.99,1
31SFE2,4.46,39.97,1
31TBE3,0.32,40.39,1
31TBF3,0.31,41.29,1
31TBF4,0.31,40.84,1
31TBG3,0.29,42.19,1
31TBG4,0.3,41.74,1
31TBH3,0.27,43.09,0
31TBH4,0.28,42.64,1
31TBJ3,0.25,43.99,1
31TBJ4,0.26,43.54,0
31TBK3,0.23,44.89,1
31TBK4,0.24,44.44,1
31TBL3,0.21,45.79,1
31TBL4,0.22,45.34,1
31TCE3,1.53,40.42,0
31TCF1,0.91,41.31,1
31TCF2,0.92,40.86,1
31TCF3,1.51,41.32,1
31TCG1,0.88,42.21,1
31TCG2,0.9,41.76,1
31TCG3,1.49,42.22,1
31TCG4,1.5,41.77,1
31TCH1,0.85,43.11,0
31TCH2,0.87,42.66,1
31TCH3,1.46,43.12,1
31TCH4,1.48,42.67,1
31TCJ1,0.82,44.01,1
31TCJ2,0.83,43.56,1
31TCJ3,1.44,44.02,1
31TCJ4,1.45,43.57,1
31TCK1,0.78,44.91,1
31TCK2,0.8,44.46,1
31TCK3,1.42,44.92,0
31TCK4,1.43,44.47,1
31TCL1,0.75,45.81,1
31TCL2,0.77,45.36,1
31TCL3,1.39,45.82,1
31TCL4,1.4,45.37,1
31TCM1,0.71,46.7,1
31TCM2,0.73,46.26,0
31TCM3,1.37,46.72,1
31TCM4,1.38,46.27,0
31TCN1,0.67,47.6,1
31TCN2,0.69,47.15,1
31TCN3,1.34,47.62,1
31TCN4,1.35,47.17,0
31TDF1,2.1,41.32,1
31TDG1,2.09,42.22,1
31TDG2,2.1,41.77,1
31TDG3,2.7,42.23,1
31TDG4,2.7,41.78,1
31TDH1,2.08,43.12,1
31TDH2,2.09,42.67,1
31TDH3,2.69,43.13,1
31TDH4,2.7,42.68,1
31TDJ1,2.06,44.02,1
31TDJ2,2.07,43.57,1
31TDJ3,2.69,44.03,1
31TDJ4,2.69,43.58,1
31TDK1,2.05,44.92,0
31TDK2,2.06,44.47,1
31TDK3,2.68,44.93,0
31TDK4,2.69,44.48,0
31TDL1,2.04,45.82,0
31TDL2,2.04,45.37,0
31TDL3,2.68,45.83,0
31TDL4,2.68,45.38,0
31TDM1,2.02,46.72,0
31TDM2,2.03,46.27,0
31TDM3,2.67,46.73,1
31TDM4,2.68,46.28,0
31TDN1,2,47.62,1
31TDN2,2.01,47.17,0
31TDN3,2.67,47.63,1
31TDN4,2.67,47.18,0
31TEG1,3.3,42.23,1
31TEG2,3.3,41.78,0
31TEH1,3.31,43.13,1
31TEH2,3.31,42.68,1
31TEJ1,3.31,44.03,1
31TEJ2,3.31,43.58,1
31TEJ3,3.94,44.02,1
31TEJ4,3.93,43.57,1
31TEK1,3.32,44.93,0
31TEK2,3.31,44.48,1
31TEK3,3.95,44.92,1
31TEK4,3.94,44.47,1
31TEL1,3.32,45.83,0
31TEL2,3.32,45.38,0
31TEL3,3.97,45.82,0
31TEL4,3.96,45.37,0
31TEM1,3.33,46.73,0
31TEM2,3.32,46.28,0
31TEM3,3.98,46.72,0
31TEM4,3.97,46.27,0
31TEN1,3.33,47.63,0
31TEN2,3.33,47.18,0
31TEN3,4,47.62,0
31TEN4,3.99,47.17,0
31TFJ1,4.56,44.02,1
31TFJ2,4.55,43.57,1
31TFJ3,5.18,44.01,1
31TFJ4,5.17,43.56,1
31TFK1,4.58,44.92,1
31TFK2,4.57,44.47,1
31TFK3,5.22,44.91,1
31TFK4,5.2,44.46,1
31TFL1,4.61,45.82,0
31TFL2,4.6,45.37,0
31TFL3,5.25,45.81,0
31TFL4,5.23,45.36,0
31TFM1,4.64,46.72,0
31TFM2,4.62,46.27,0
31TFM3,5.29,46.7,0
31TFM4,5.27,46.26,0
31TFN1,4.66,47.62,0
31TFN2,4.65,47.17,0
31TFN3,5.33,47.6,0
31TFN4,5.31,47.15,0
31TGH1,5.73,43.09,1
31TGJ1,5.75,43.99,1
31TGJ2,5.74,43.54,1
31TGK1,5.77,44.89,0
31TGK2,5.76,44.44,1
31TGL1,5.79,45.79,0
31TGL2,5.78,45.34,0
31TGM1,6,46.7,0
31TGM2,6,46.25,0
31TGN1,6,47.6,0
31TGN2,6,47.15,0
31UCP1,0.63,48.5,0
31UCP2,0.65,48.05,1
31UCP3,1.31,48.51,0
31UCP4,1.32,48.06,1
31UCQ1,0.47,49.4,1
31UCQ2,0.48,48.95,0
31UCQ3,1.28,49.41,0
31UCQ4,1.29,48.96,0
31UCR2,0.46,49.85,0
31UCR4,1.26,49.86,0
31UCS1,0.43,51.2,0
31UCS2,0.44,50.75,0
31UCS3,1.21,51.21,0
31UCS4,1.23,50.76,0
31UCT1,0.41,52.1,0
31UCT2,0.42,51.65,0
31UCT3,1.18,52.11,0
31UCT4,1.19,51.66,0
31UCU1,0.38,52.99,0
31UCU2,0.39,52.54,0
31UCU3,1.14,53.01,0
31UCU4,1.16,52.56,0
31UCV2,0.37,53.44,0
31UDP1,1.98,48.52,0
31UDP2,1.99,48.07,1
31UDP3,2.66,48.53,1
31UDP4,2.66,48.08,1
31UDQ1,1.97,49.42,0
31UDQ2,1.98,48.97,0
31UDQ3,2.66,49.43,0
31UDQ4,2.66,48.98,0
31UDR1,1.95,50.32,0
31UDR2,1.96,49.87,0
31UDR3,2.65,50.33,0
31UDR4,2.65,49.88,0
31UDS2,1.94,50.77,0
31UDS3,2.64,51.22,0
31UDS4,2.65,50.78,0
31UDU2,1.89,52.57,0
31UEP1,3.34,48.53,0
31UEP2,3.34,48.08,0
31UEP3,4.02,48.52,0
31UEP4,4.01,48.07,0
31UEQ1,3.35,49.43,0
31UEQ2,3.34,48.98,0
31UEQ3,4.03,49.42,0
31UEQ4,4.03,48.97,0
31UER1,3.35,50.33,0
31UER2,3.35,49.88,0
31UER3,4.05,50.32,0
31UER4,4.04,49.87,0
31UES1,3.36,51.22,0
31UES2,3.36,50.78,0
31UES3,4.07,51.22,0
31UES4,4.06,50.77,0
31UET2,3.36,51.67,0
31UET3,4.1,52.12,0
31UET4,4.09,51.67,0
31UFP1,4.69,48.51,0
31UFP2,4.68,48.06,0
31UFP3,5.37,48.5,0
31UFP4,5.35,48.05,0
31UFQ1,4.72,49.41,0
31UFQ2,4.71,48.96,0
31UFQ3,5.53,49.4,0
31UFQ4,5.53,48.95,0
31UFR1,4.76,50.31,0
31UFR2,4.74,49.86,0
31UFR3,5.55,50.3,0
31UFR4,5.54,49.85,0
31UFS1,4.79,51.21,0
31UFS2,4.77,50.76,0
31UFS3,5.57,51.2,0
31UFS4,5.56,50.75,0
31UFT1,4.83,52.11,0
31UFT2,4.81,51.66,0
31UFT3,5.6,52.1,0
31UFT4,5.58,51.65,0
31UFU1,4.86,53.01,0
31UFU2,4.84,52.56,0
31UFU3,5.62,52.99,0
31UFU4,5.61,52.54,0
31UFV2,4.88,53.46,0
31UFV4,5.63,53.44,0
31UGP1,6,48.5,0
31UGP2,6,48.05,0
31VFE3,6,58.38,0
31VFF1,5.2,59.29,0
31VFF2,5.17,58.85,0
31VFF3,6,59.28,0
31VFF4,6,58.83,0
31VFG1,5.4,60.19,0
31VFG2,5.39,59.74,0
31VFH1,5.43,61.09,0
31VFH2,5.41,60.64,0
31VFJ1,5.45,61.98,0
31VFJ2,5.44,61.53,0
31VFK2,5.47,62.43,0
32SMJ1,8.13,39.52,0
32SMJ2,8.13,39.07,1
32SMJ3,8.71,39.52,1
32SMJ4,8.71,39.07,1
32SMK4,8.71,39.97,1
32SNJ1,9.29,39.52,1
32SNJ2,9.29,39.07,1
32SNK2,9.29,39.97,1
32SNK4,9.88,39.97,1
32SQF1,12,36.8,1
32TKN3,6.27,43.09,1
32TKP3,6.25,43.99,1
32TKP4,6.26,43.54,1
32TKQ3,6.23,44.89,0
32TKQ4,6.24,44.44,0
32TKR3,6.21,45.79,0
32TKR4,6.22,45.34,0
32TLN1,6.85,43.11,1
32TLP1,6.82,44.01,1
32TLP2,6.83,43.56,1
32TLP3,7.44,44.02,1
32TLP4,7.45,43.57,1
32TLQ1,6.78,44.91,0
32TLQ2,6.8,44.46,0
32TLQ3,7.42,44.92,0
32TLQ4,7.43,44.47,0
32TLR1,6.75,45.81,0
32TLR2,6.77,45.36,0
32TLR3,7.39,45.82,0
32TLR4,7.4,45.37,0
32TLS1,6.71,46.7,0
32TLS2,6.73,46.26,0
32TLS3,7.37,46.72,0
32TLS4,7.38,46.27,0
32TLT1,6.67,47.6,0
32TLT2,6.69,47.15,0
32TLT3,7.34,47.62,0
32TLT4,7.35,47.17,0
32TMK1,8.12,40.42,1
32TMK3,8.71,40.42,1
32TML1,8.1,41.32,0
32TML2,8.11,40.87,1
32TML3,8.7,41.33,1
32TML4,8.7,40.88,1
32TMM3,8.7,42.23,1
32TMM4,8.7,41.78,1
32TMN2,8.09,42.67,0
32TMN4,8.7,42.68,1
32TMP1,8.06,44.02,1
32TMQ1,8.05,44.92,0
32TMQ2,8.06,44.47,0
32TMQ3,8.68,44.93,1
32TMQ4,8.69,44.48,1
32TMR1,8.04,45.82,0
32TMR2,8.04,45.37,0
32TMR3,8.68,45.83,0
32TMR4,8.68,45.38,0
32TMS1,8.02,46.72,0
32TMS2,8.03,46.27,0
32TMS3,8.67,46.73,0
32TMS4,8.68,46.28,0
32TMT1,8,47.62,0
32TMT2,8.01,47.17,0
32TMT3,8.67,47.63,0
32TMT4,8.67,47.18,0
32TNK1,9.3,40.42,1
32TNK3,9.88,40.42,1
32TNL1,9.3,41.33,1
32TNL2,9.3,40.88,1
32TNL4,9.89,40.87,1
